mobile_price,mobile_color,dual_sim,disp_size,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,res_dim_1,res_dim_2,p_cam_max,p_cam_count,f_cam_max,f_cam_count,2G,3G,4G,4GVOLTE,5G
24999,Red,Dual Sim,6.39,Android Pie 9,8,2.84,128,6,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
16999,Blue,Dual Sim,6.67,other,8,2.3,64,4,5020,76.68,165.75,8.8,209.0,2400,1080,48,4,16,1,0,1,0,1,0
24999,Black,Dual Sim,6.39,Android Pie 9,8,2.84,128,6,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
16939,Other,Dual Sim,6.08,Android Pie 9,8,2.0,128,6,4030,71.85,153.48,8.475,173.8,1560,720,48,3,32,1,1,1,1,1,0
24999,Blue,Dual Sim,6.39,Android Pie 9,8,2.84,128,6,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
16999,Black,Dual Sim,6.3,Android Pie 9,8,2.0,128,6,4000,75.21,159.21,8.1,186.0,2340,1080,48,2,13,1,1,1,0,1,0
14999,Blue,Dual Sim,6.08,Android Pie 9,8,2.0,128,6,4030,71.85,153.48,8.475,173.8,1560,720,48,3,32,1,1,1,1,1,0
16999,Black,Dual Sim,5.99,other,8,2.5,128,6,3400,75.49,151.86,7.7,185.0,2160,1080,12,1,5,1,1,1,0,1,0
24999,Other,Dual Sim,6.39,Android Pie 9,8,2.84,128,6,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
17350,Other,Dual Sim,6.08,Android Pie 9,8,2.0,128,6,4030,71.85,153.48,8.475,173.8,1560,720,48,3,32,1,1,1,1,1,0
29999,Black,Dual Sim,6.39,Android Pie 9,8,2.84,256,8,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
13999,Red,Dual Sim,6.3,Android Pie 9,8,2.0,128,6,4000,75.21,159.21,8.1,186.0,2340,1080,48,2,13,1,1,1,0,1,0
